source_code,source_concept_id,source_vocabulary_id,source_code_description,relationship_id,target_concept_id,target_concept_name,target_vocabulary_id,target_domain_id,valid_start_date,valid_end_date,invalid_reason
BEDSIDE ULTRASOUND,0,DelphiR2,BEDSIDE ULTRASOUND,Is a,4225060,Bedside testing,SNOMED,Procedure,02-20-2024,12-31-2099,
BEHAVIOR/MOOD,0,DelphiR2,BEHAVIOR/MOOD,Maps to,3046430,Mood and behavior patterns section,LOINC,Observation,02-20-2024,12-31-2099,
1000464,0,DelphiR2,BEHAVIOR/MOOD | BEHAVIOR/MOOD | BEHAVIOR/MOOD,Maps to,3046430,Mood and behavior patterns section,LOINC,Observation,02-20-2024,12-31-2099,
BILIARY DRAIN,0,DelphiR2,BILIARY DRAIN,Subsumes,4340105,Biliary drainage,SNOMED,Procedure,02-20-2024,12-31-2099,
BILIARY DRAIN,0,DelphiR2,BILIARY DRAIN,Subsumes,45767888,Biliary catheter,SNOMED,Device,02-20-2024,12-31-2099,
BLOOD GLUCOSE LEVEL,0,DelphiR2,BLOOD GLUCOSE LEVEL,Maps to,4144235,"Glucose measurement, blood",SNOMED,Measurement,02-20-2024,12-31-2099,
BLOOD PRESSURE,0,DelphiR2,BLOOD PRESSURE,Maps to,4264765,Blood pressure taking,SNOMED,Measurement,02-20-2024,12-31-2099,
BLOOD PRESSURE,0,DelphiR2,BLOOD PRESSURE,Maps to,4326744,Blood pressure,SNOMED,Measurement,02-20-2024,12-31-2099,
BLOOD PRESSURE,0,DelphiR2,BLOOD PRESSURE,Subsumes,3031203,Blood pressure panel,LOINC,Measurement,02-20-2024,12-31-2099,
BLOOD PRESSURE,0,DelphiR2,BLOOD PRESSURE,Subsumes,4046988,Blood pressure monitoring,SNOMED,Observation,02-20-2024,12-31-2099,
BLOOD PRESSURE,0,DelphiR2,BLOOD PRESSURE,Subsumes,40758413,Blood pressure systolic and diastolic,LOINC,Measurement,02-20-2024,12-31-2099,
BMI,0,DelphiR2,BMI,Maps to,3038553,Body mass index (BMI) [Ratio],LOINC,Measurement,02-20-2024,12-31-2099,
BOWELS,0,DelphiR2,BOWELS,Has associated finding,4091532,Bowel finding,SNOMED,Condition,02-20-2024,12-31-2099,
BOWELS SOUNDS,0,DelphiR2,BOWELS SOUNDS,Maps to,4337265,Bowel sounds,SNOMED,Observation,02-20-2024,12-31-2099,
BRADEN SCALE,0,DelphiR2,BRADEN SCALE,Maps to,21493166,Pressure injury risk level Braden scale,LOINC,Measurement,02-20-2024,12-31-2099,
BRONCHIOLITIS,0,DelphiR2,BRONCHIOLITIS,Maps to,4165112,Bronchiolitis,SNOMED,Condition,02-20-2024,12-31-2099,
1000205,0,DelphiR2,Bronchiolitis | Bronchiolitis | WARME Assessment,Has associated finding,4165112,Bronchiolitis,SNOMED,Condition,02-20-2024,12-31-2099,
1000205,0,DelphiR2,Bronchiolitis | Bronchiolitis | WARME Assessment,Is a,4110275,Staging and scales,SNOMED,Measurement,02-20-2024,12-31-2099,
C-SSRS,0,DelphiR2,C-SSRS,Maps to,3655548,Columbia Suicide Severity Rating Scale,SNOMED,Measurement,02-20-2024,12-31-2099,
C-SSRS SCORE,0,DelphiR2,C-SSRS SCORE,Is a,3655548,Columbia Suicide Severity Rating Scale,SNOMED,Measurement,02-20-2024,12-31-2099,
1000307,0,DelphiR2,C-SSRS | C-SSRS Score | C-SSRS Score,Maps to,1002447,Columbia - suicide severity rating scale - lifetime recent [C-SSRS],LOINC,Observation,02-20-2024,12-31-2099,
1000209,0,DelphiR2,C-SSRS | SUICIDAL THOUGHTS | SUICIDAL THOUGHTS,Has associated finding,4273391,Suicidal thoughts,SNOMED,Condition,02-20-2024,12-31-2099,
1000209,0,DelphiR2,C-SSRS | SUICIDAL THOUGHTS | SUICIDAL THOUGHTS,Maps to,1002339,Suicidal ideation [C-SSRS],LOINC,Observation,02-20-2024,12-31-2099,
CAPILLARY REFILL,0,DelphiR2,CAPILLARY REFILL,Maps to,4089379,Capillary refill,SNOMED,Observation,02-20-2024,12-31-2099,
CARDIAC,0,DelphiR2,CARDIAC,Maps to,4149475,Cardiac measure,SNOMED,Measurement,02-20-2024,12-31-2099,
ALARM,0,DelphiR2,CARDIAC ALARM,Is a,4220345,Alarm,SNOMED,Device,02-20-2024,12-31-2099,
1000277,0,DelphiR2,CARDIAC | CENTRAL VENOUS PRESSURE (CVR) | CENTRAL VENOUS PRESSURE (CVR),Maps to,21490675,Central venous pressure (CVP),LOINC,Measurement,02-20-2024,12-31-2099,
1000317,0,DelphiR2,CARDIAC | IINTERVAL | PR Interval,Maps to,3007794,P-R Interval,LOINC,Measurement,02-20-2024,12-31-2099,
1000317,0,DelphiR2,CARDIAC | IINTERVAL | PR Interval,Maps to,4064624,PR interval feature,SNOMED,Measurement,02-20-2024,12-31-2099,
1000230,0,DelphiR2,CARDIAC | IINTERVAL | QRS Interval,Has measurement,3022022,QRS duration,LOINC,Measurement,02-20-2024,12-31-2099,
1000230,0,DelphiR2,CARDIAC | IINTERVAL | QRS Interval,Maps to,4218048,QRS interval,SNOMED,Measurement,02-20-2024,12-31-2099,
1000057,0,DelphiR2,CARDIAC | IINTERVAL | QT Interval,Maps to,3025809,Q-T interval,LOINC,Measurement,02-20-2024,12-31-2099,
1000057,0,DelphiR2,CARDIAC | IINTERVAL | QT Interval,Maps to,4216826,QT interval feature,SNOMED,Measurement,02-20-2024,12-31-2099,
1000328,0,DelphiR2,CARDIAC | IINTERVAL | QTS Interval,Maps to,3026258,Q-T interval corrected,LOINC,Measurement,02-20-2024,12-31-2099,
1000153,0,DelphiR2,CARDIAC | MONITOR | Cardiac Monitor,Has relat context,45765560,Cardiovascular monitor,SNOMED,Device,02-20-2024,12-31-2099,
1000479,0,DelphiR2,CARDIAC | Pulse contour analysis |  Cardiac INDEX (CI),Has relat context,40483580,Monitoring of cardiac output using pulse contour analysis,SNOMED,Observation,02-20-2024,12-31-2099,
1000479,0,DelphiR2,CARDIAC | Pulse contour analysis |  Cardiac INDEX (CI),Is a,4208254,Cardiac index,SNOMED,Measurement,02-20-2024,12-31-2099,
1000054,0,DelphiR2,CARDIAC | Pulse contour analysis | Cardiac OUTPUT (CO),Is a,4221102,Cardiac output,SNOMED,Measurement,02-20-2024,12-31-2099,
1000054,0,DelphiR2,CARDIAC | Pulse contour analysis | Cardiac OUTPUT (CO),Maps to,40483580,Monitoring of cardiac output using pulse contour analysis,SNOMED,Observation,02-20-2024,12-31-2099,
1000074,0,DelphiR2,CARDIAC | Pulse contour analysis | STROKE VOLUME,Is a,4231869,Stroke volume,SNOMED,Measurement,02-20-2024,12-31-2099,
1000435,0,DelphiR2,CARDIAC | Pulse contour analysis | SVR,Is a,3035146,Systemic vascular Resistance,LOINC,Measurement,02-20-2024,12-31-2099,
1000501,0,DelphiR2,CARDIAC | RHYTHM | Cariac Rhythm,Maps to,3022318,Heart rate rhythm,LOINC,Measurement,02-20-2024,12-31-2099,
1000501,0,DelphiR2,CARDIAC | RHYTHM | Cariac Rhythm,Maps to,4238443,Feature of heart rhythm,SNOMED,Observation,02-20-2024,12-31-2099,
1000501,0,DelphiR2,CARDIAC | RHYTHM | Cariac Rhythm,Subsumes,4091457,Cardiac rhythm type,SNOMED,Observation,02-20-2024,12-31-2099,
1000409,0,DelphiR2,CARDIAC | RHYTHM | DEFIB Rhythm,Has associated finding,44784217,Cardiac arrhythmia,SNOMED,Condition,02-20-2024,12-31-2099,
1000409,0,DelphiR2,CARDIAC | RHYTHM | DEFIB Rhythm,Is a,4138751,Cardioverter defibrillator procedure,SNOMED,Procedure,02-20-2024,12-31-2099,
1000221,0,DelphiR2,CARDIAC | RHYTHM | PRE-DEFIB Rhythm,Has associated finding,44784217,Cardiac arrhythmia,SNOMED,Condition,02-20-2024,12-31-2099,
1000221,0,DelphiR2,CARDIAC | RHYTHM | PRE-DEFIB Rhythm,Is a,4138751,Cardioverter defibrillator procedure,SNOMED,Procedure,02-20-2024,12-31-2099,
1000023,0,DelphiR2,CARDIAC | SIGNS/SYMTOMS | Cardiac Signs & Symptoms,Has relat context,4023995,Cardiovascular finding,SNOMED,Observation,02-20-2024,12-31-2099,
1000023,0,DelphiR2,CARDIAC | SIGNS/SYMTOMS | Cardiac Signs & Symptoms,Is a,3004956,Physical findings of Heart,LOINC,Measurement,02-20-2024,12-31-2099,
1000223,0,DelphiR2,CARDIAC | SOUNDS | Cardiac Sounds,Maps to,4051958,Heart sound,SNOMED,Measurement,02-20-2024,12-31-2099,
1000223,0,DelphiR2,CARDIAC | SOUNDS | Cardiac Sounds,Maps to,21494971,Heart sounds,LOINC,Measurement,02-20-2024,12-31-2099,
CENTRAL VENOUS PRESSURE (CVR),0,DelphiR2,CENTRAL VENOUS PRESSURE (CVR),Maps to,21490675,Central venous pressure (CVP),LOINC,Measurement,02-20-2024,12-31-2099,
1000032,0,DelphiR2,Chest Tube | Chest Tube | Air Leak,Has relat context,4121351,Chest drain,SNOMED,Device,02-20-2024,12-31-2099,
1000375,0,DelphiR2,Chest Tube | Chest Tube | Function,Has relat context,4121351,Chest drain,SNOMED,Device,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Has relat context,4121351,Chest drain,SNOMED,Device,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Maps to,3026556,Fluid output chest tube,LOINC,Measurement,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Subsumes,3006546,Fluid output chest tube 8 hour,LOINC,Measurement,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Subsumes,3007637,Fluid output chest tube 1 hour,LOINC,Measurement,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Subsumes,3014546,Chest tube output 24 hour Pleural space - left,LOINC,Measurement,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Subsumes,3018842,Chest tube output 24 hour Pleural space - right,LOINC,Measurement,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Subsumes,3021427,Fluid output chest tube 12 hour,LOINC,Measurement,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Subsumes,3022397,Fluid output chest tube 10 hour,LOINC,Measurement,02-20-2024,12-31-2099,
1000327,0,DelphiR2,Chest Tube | Chest Tube | Output,Subsumes,3026616,Fluid output chest tube 24 hour,LOINC,Measurement,02-20-2024,12-31-2099,
1000071,0,DelphiR2,Chest Tube | Chest Tube | Removal Date,Has relat context,4232096,Date of procedure,SNOMED,Observation,02-20-2024,12-31-2099,
1000071,0,DelphiR2,Chest Tube | Chest Tube | Removal Date,Is a,4030842,Intercostal drain removal,SNOMED,Procedure,02-20-2024,12-31-2099,
1000337,0,DelphiR2,Chest Tube | Chest Tube | Removal Time,Has relat context,21491695,Procedure start time,LOINC,Observation,02-20-2024,12-31-2099,
1000337,0,DelphiR2,Chest Tube | Chest Tube | Removal Time,Is a,4030842,Intercostal drain removal,SNOMED,Procedure,02-20-2024,12-31-2099,
1000276,0,DelphiR2,Chest Tube | Chest Tube | Site Assessment,Has asso proc,4024220,Medical equipment assessment,SNOMED,Procedure,02-20-2024,12-31-2099,
1000276,0,DelphiR2,Chest Tube | Chest Tube | Site Assessment,Maps to,3004779,Chest tube site,LOINC,Observation,02-20-2024,12-31-2099,
CLINICAL SWALLOW,0,DelphiR2,CLINICAL SWALLOW,Is a,4225060,Bedside testing,SNOMED,Procedure,02-20-2024,12-31-2099,
COLLAR,0,DelphiR2,COLLAR,Has asso proc,4172301,Application of cervical collar,SNOMED,Procedure,02-20-2024,12-31-2099,
COLOR,0,DelphiR2,COLOR,Maps to,45766146,Color,SNOMED,Observation,02-20-2024,12-31-2099,
COMA RECOVERY SCALE (CRS),0,DelphiR2,COMA RECOVERY SCALE (CRS),Has associated finding,380834,Coma,SNOMED,Condition,02-20-2024,12-31-2099,
COMA RECOVERY SCALE (CRS),0,DelphiR2,COMA RECOVERY SCALE (CRS),Is a,4232897,Neurological status: consciousness,SNOMED,Observation,02-20-2024,12-31-2099,
COMFORT SAFETY ROUNDS,0,DelphiR2,COMFORT SAFETY ROUNDS,Is a,4100072,Safety inspection,SNOMED,Observation,02-20-2024,12-31-2099,
CONDITION,0,DelphiR2,CONDITION,Maps to,46234708,Condition,LOINC,Observation,02-20-2024,12-31-2099,
CONTINUOUS RENAL REPLACEMENT THERAPY (CRRT),0,DelphiR2,CONTINUOUS RENAL REPLACEMENT THERAPY (CRRT),Maps to,37018292,Continuous renal replacement therapy,SNOMED,Procedure,02-20-2024,12-31-2099,
CONTINUOUS RENAL REPLACEMENT THERAPY (CRRT),0,DelphiR2,CONTINUOUS RENAL REPLACEMENT THERAPY (CRRT),Subsumes,1989465,Continuous renal replacement therapy panel,LOINC,Measurement,02-20-2024,12-31-2099,
COVID-19,0,DelphiR2,COVID-19,Has relat context,36033670,COVID-19 note,LOINC,Note,02-20-2024,12-31-2099,
COVID-19,0,DelphiR2,COVID-19,Maps to,37311061,COVID-19,SNOMED,Condition,02-20-2024,12-31-2099,
CRAFFT,0,DelphiR2,CRAFFT,Maps to,42536965,CRAFFT Screening Test,SNOMED,Measurement,02-20-2024,12-31-2099,
CT,0,DelphiR2,CT,Maps to,4300757,Computed tomography,SNOMED,Procedure,02-20-2024,12-31-2099,
CT 3D RECONSTRUCTION PELVIS,0,DelphiR2,CT 3D RECONSTRUCTION PELVIS,Is a,36305915,CT Pelvis by reconstruction,LOINC,Procedure,02-20-2024,12-31-2099,
CT 3D TAVR RECONSTRUCTION,0,DelphiR2,CT 3D TAVR RECONSTRUCTION,Has asso proc,36676805,Transcatheter aortic valve implantation,SNOMED,Procedure,02-20-2024,12-31-2099,
CT 3D TAVR RECONSTRUCTION,0,DelphiR2,CT 3D TAVR RECONSTRUCTION,Is a,4303663,CT angiography with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ABDOMEN/PELVIS,0,DelphiR2,CT ABDOMEN/PELVIS,Maps to,3046366,CT Abdomen and Pelvis,LOINC,Procedure,02-20-2024,12-31-2099,
CT ABDOMEN/PELVIS ENTEROGRAPHY,0,DelphiR2,CT ABDOMEN/PELVIS ENTEROGRAPHY,Is a,3047782,CT Abdomen and Pelvis W contrast IV,LOINC,Procedure,02-20-2024,12-31-2099,
CT ABDOMEN/PELVIS ENTEROGRAPHY,0,DelphiR2,CT ABDOMEN/PELVIS ENTEROGRAPHY,Is a,37396234,CT of small intestine with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO ABDOMEN/PELVIS,0,DelphiR2,CT ANGIO ABDOMEN/PELVIS,Maps to,42535859,CT angiography of abdominal and/or pelvic blood vessel with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO ABDOMINAL AORTA AND LOWER EXTREMITY RUNOFF,0,DelphiR2,CT ANGIO ABDOMINAL AORTA AND LOWER EXTREMITY RUNOFF,Is a,37016707,CT angiography of lower limb with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO ABDOMINAL AORTA AND LOWER EXTREMITY RUNOFF,0,DelphiR2,CT ANGIO ABDOMINAL AORTA AND LOWER EXTREMITY RUNOFF,Is a,40481586,CT angiography of abdominal aorta with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO BRAIN PERFUSION,0,DelphiR2,CT ANGIO BRAIN PERFUSION,Maps to,4198764,CT of brain perfusion,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO BRAIN PERFUSION,0,DelphiR2,CT ANGIO BRAIN PERFUSION,Subsumes,1176376,CT Head and CT Brain for perfusion and CT angiogram Head vessels WO and W contrast IV,LOINC,Procedure,02-20-2024,12-31-2099,
CT ANGIO CHEST,0,DelphiR2,CT ANGIO CHEST,Maps to,36713226,CT angiography of chest with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO CHEST ABDOMEN PELVIS,0,DelphiR2,CT ANGIO CHEST ABDOMEN PELVIS,Maps to,42535265,"CT angiography of thorax, abdomen and pelvis with contrast",SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO CORONARY ARTERIES,0,DelphiR2,CT ANGIO CORONARY ARTERIES,Maps to,4306317,CT angiography of coronary artery with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO HEAD,0,DelphiR2,CT ANGIO HEAD,Maps to,36713289,CT angiography of head with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO HEAD AND NECK,0,DelphiR2,CT ANGIO HEAD AND NECK,Maps to,45765481,CT angiography of head and neck with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO LOWER EXTREMITY (RUN OFF),0,DelphiR2,CT ANGIO LOWER EXTREMITY (RUN OFF),Is a,37016707,CT angiography of lower limb with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT ANGIO NECK,0,DelphiR2,CT ANGIO NECK,Subsumes,45765485,CT angiography of vascular structure of neck with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT CARDIAC,0,DelphiR2,CT CARDIAC,Maps to,4083211,Cardiac CT,SNOMED,Procedure,02-20-2024,12-31-2099,
CT CERVICAL SPINE,0,DelphiR2,CT CERVICAL SPINE,Maps to,4086261,CT of cervical spine,SNOMED,Procedure,02-20-2024,12-31-2099,
CT CHEST,0,DelphiR2,CT CHEST,Maps to,4058335,CT of chest,SNOMED,Procedure,02-20-2024,12-31-2099,
CT CHEST PULMONARY ANGIOGRAM,0,DelphiR2,CT CHEST PULMONARY ANGIOGRAM,Maps to,36717296,CT angiography of pulmonary artery with contrast,SNOMED,Procedure,02-20-2024,12-31-2099,
CT CHEST PULMONARY ANGIOGRAM,0,DelphiR2,CT CHEST PULMONARY ANGIOGRAM,Subsumes,36303622,CT Chest W contrast IV and CT angiogram Pulmonary arteries for pulmonary embolus W contrast IV,LOINC,Procedure,02-20-2024,12-31-2099,
CT CHEST PULMONARY ANGIOGRAM,0,DelphiR2,CT CHEST PULMONARY ANGIOGRAM,Subsumes,43055216,CT Pulmonary arteries for pulmonary embolus,LOINC,Procedure,02-20-2024,12-31-2099,
CT CHEST TUBE PLACEMENT,0,DelphiR2,CT CHEST TUBE PLACEMENT,Maps to,3050185,CT Guidance for placement of tube in Chest,LOINC,Procedure,02-20-2024,12-31-2099,
CT DRAINAGE ABDOMEN,0,DelphiR2,CT DRAINAGE ABDOMEN,Maps to,604279,CT guided percutaneous drainage of abdomen,SNOMED,Procedure,02-20-2024,12-31-2099,
CT DRAINAGE PELVIS,0,DelphiR2,CT DRAINAGE PELVIS,Maps to,608020,CT guided percutaneous drainage of pelvis,SNOMED,Procedure,02-20-2024,12-31-2099,
CT FACE,0,DelphiR2,CT FACE,Maps to,4061008,CT of face,SNOMED,Procedure,02-20-2024,12-31-2099,
CT FACE,0,DelphiR2,CT FACE,Subsumes,4306666,CT of facial bones,SNOMED,Procedure,02-20-2024,12-31-2099,
CT FEMUR,0,DelphiR2,CT FEMUR,Maps to,45765532,Computed tomography of femur,SNOMED,Procedure,02-20-2024,12-31-2099,
CT FOOT,0,DelphiR2,CT FOOT,Maps to,3047793,CT Foot,LOINC,Procedure,02-20-2024,12-31-2099,
CT FOOT,0,DelphiR2,CT FOOT,Maps to,4082974,CT of foot,SNOMED,Procedure,02-20-2024,12-31-2099,
CT FRACTIONAL FLOW RESERVE (CT-FFR) RECONSTRUCTION,0,DelphiR2,CT FRACTIONAL FLOW RESERVE (CT-FFR) RECONSTRUCTION,Is a,4300757,Computed tomography,SNOMED,Procedure,02-20-2024,12-31-2099,
